Time,Force,Acc_x,Acc_r,Position,Velocity,Acc
0.000,-0.01,0.0,0.0,0.0000,,
0.010,,,,0.0000,0.000,
0.020,,,,0.0000,0.000,0.000
0.030,,,,0.0000,0.000,0.000
0.040,,,,0.0000,0.000,0.000
0.050,-0.01,0.0,0.0,0.0000,0.000,0.000
0.060,,,,0.0000,0.000,0.000
0.070,,,,0.0000,0.000,0.000
0.080,,,,0.0000,0.000,0.000
0.090,,,,0.0000,0.000,0.000
0.100,-0.01,0.0,0.1,0.0000,0.000,0.000
0.110,,,,0.0000,0.000,0.000
0.120,,,,0.0000,0.000,0.000
0.130,,,,0.0000,0.000,0.000
0.140,,,,0.0000,0.000,0.000
0.150,-0.01,0.0,0.0,0.0000,0.000,0.000
0.160,,,,0.0000,0.000,0.000
0.170,,,,0.0000,0.000,0.000
0.180,,,,0.0000,0.000,0.000
0.190,,,,0.0000,0.000,0.000
0.200,0.00,0.0,0.0,0.0000,0.000,0.000
0.210,,,,0.0000,0.000,0.000
0.220,,,,0.0000,0.000,0.000
0.230,,,,0.0000,0.000,0.000
0.240,,,,0.0000,0.000,0.000
0.250,0.00,0.0,0.0,0.0000,0.000,0.000
0.260,,,,0.0000,0.000,0.000
0.270,,,,0.0000,0.000,0.000
0.280,,,,0.0000,0.000,0.000
0.290,,,,0.0000,0.000,0.000
0.300,-0.01,0.0,0.0,0.0000,0.000,0.000
0.310,,,,0.0000,0.000,0.034
0.320,,,,0.0000,0.000,0.101
0.330,,,,0.0000,0.002,0.135
0.340,,,,0.0000,0.004,0.067
0.350,-0.01,0.0,0.1,1.2126E-4,0.004,-0.067
0.360,,,,1.2126E-4,0.002,-0.135
0.370,,,,1.2126E-4,0.000,-0.101
0.380,,,,1.2126E-4,0.000,-0.034
0.390,,,,1.2126E-4,0.000,0.000
0.400,-0.01,0.0,0.0,1.2126E-4,0.000,0.000
0.410,,,,1.2126E-4,0.000,0.000
0.420,,,,1.2126E-4,0.000,0.000
0.430,,,,1.2126E-4,0.000,0.034
0.440,,,,1.2126E-4,0.000,0.135
0.450,-0.01,0.1,0.1,1.2126E-4,0.002,0.303
0.460,,,,1.2126E-4,0.006,0.505
0.470,,,,2.4252E-4,0.012,0.674
0.480,,,,3.6379E-4,0.020,0.741
0.490,,,,6.0631E-4,0.028,0.674
0.500,-0.01,0.8,0.8,9.7010E-4,0.034,0.539
0.510,,,,0.0013,0.038,0.404
0.520,,,,0.0017,0.042,0.269
0.530,,,,0.0022,0.044,0.101
0.540,,,,0.0027,0.044,-0.067
0.550,0.00,-0.1,0.1,0.0030,0.042,-0.135
0.560,,,,0.0035,0.040,-0.101
0.570,,,,0.0039,0.040,6.939E-16
0.580,,,,0.0042,0.040,0.168
0.590,,,,0.0047,0.042,0.404
0.600,-0.01,0.5,0.5,0.0051,0.049,0.674
0.610,,,,0.0056,0.057,0.842
0.620,,,,0.0063,0.067,0.842
0.630,,,,0.0069,0.075,0.741
0.640,,,,0.0078,0.081,0.640
0.650,-0.01,0.7,0.7,0.0086,0.087,0.606
0.660,,,,0.0095,0.093,0.539
0.670,,,,0.0104,0.099,0.371
0.680,,,,0.0115,0.101,0.168
0.690,,,,0.0125,0.101,0.067
0.700,-0.01,0.1,0.1,0.0135,0.101,0.067
0.710,,,,0.0146,0.103,0.034
0.720,,,,0.0155,0.103,-0.101
0.730,,,,0.0166,0.101,-0.269
0.740,,,,0.0176,0.097,-0.337
0.750,0.00,-0.4,0.4,0.0186,0.093,-0.337
0.760,,,,0.0194,0.091,-0.303
0.770,,,,0.0204,0.087,-0.236
0.780,,,,0.0212,0.085,-0.101
0.790,,,,0.0219,0.085,0.067
0.800,-0.01,0.1,0.1,0.0229,0.087,0.168
0.810,,,,0.0238,0.089,0.236
0.820,,,,0.0246,0.091,0.303
0.830,,,,0.0256,0.095,0.371
0.840,,,,0.0266,0.099,0.371
0.850,-0.01,0.3,0.3,0.0275,0.103,0.269
0.860,,,,0.0286,0.105,0.168
0.870,,,,0.0297,0.105,0.168
0.880,,,,0.0307,0.107,0.236
0.890,,,,0.0318,0.111,0.202
0.900,-0.01,0.1,0.1,0.0330,0.113,0.034
0.910,,,,0.0341,0.111,-0.101
0.920,,,,0.0352,0.109,-0.135
0.930,,,,0.0363,0.109,-0.168
0.940,,,,0.0373,0.107,-0.269
0.950,0.00,-0.3,0.3,0.0384,0.103,-0.337
0.960,,,,0.0394,0.099,-0.269
0.970,,,,0.0404,0.097,-0.135
0.980,,,,0.0414,0.097,-0.034
0.990,,,,0.0423,0.097,4.163E-15
1.000,-0.01,-0.1,0.1,0.0433,0.097,-4.163E-15
1.010,,,,0.0443,0.097,-9.021E-15
1.020,,,,0.0452,0.097,-8.327E-15
1.030,,,,0.0462,0.097,0.034
1.040,,,,0.0472,0.097,0.168
1.050,0.00,0.2,0.2,0.0481,0.099,0.371
1.060,,,,0.0491,0.105,0.505
1.070,,,,0.0502,0.111,0.472
1.080,,,,0.0514,0.115,0.337
1.090,,,,0.0525,0.117,0.236
1.100,-0.01,0.3,0.3,0.0537,0.119,0.168
1.110,,,,0.0549,0.121,0.135
1.120,,,,0.0561,0.121,0.168
1.130,,,,0.0574,0.123,0.269
1.140,,,,0.0586,0.127,0.337
1.150,0.00,0.2,0.2,0.0599,0.131,0.269
1.160,,,,0.0612,0.133,0.135
1.170,,,,0.0626,0.133,0.034
1.180,,,,0.0639,0.133,-2.914E-14
1.190,,,,0.0652,0.133,-0.034
1.200,-0.01,-0.1,0.1,0.0666,0.133,-0.101
1.210,,,,0.0679,0.131,-0.135
1.220,,,,0.0692,0.129,-0.067
1.230,,,,0.0705,0.129,0.034
1.240,,,,0.0718,0.131,0.034
1.250,-0.01,0.0,0.1,0.0731,0.131,-0.034
1.260,,,,0.0745,0.129,-0.034
1.270,,,,0.0757,0.129,0.067
1.280,,,,0.0770,0.131,0.135
1.290,,,,0.0783,0.133,0.135
1.300,-0.01,0.1,0.1,0.0797,0.133,0.168
1.310,,,,0.0810,0.135,0.236
1.320,,,,0.0823,0.139,0.236
1.330,,,,0.0838,0.141,0.135
1.340,,,,0.0852,0.141,0.034
1.350,-0.01,0.1,0.1,0.0866,0.141,-0.034
1.360,,,,0.0880,0.141,-0.135
1.370,,,,0.0895,0.139,-0.269
1.380,,,,0.0908,0.135,-0.371
1.390,,,,0.0922,0.131,-0.438
1.400,0.00,-0.6,0.6,0.0935,0.127,-0.505
1.410,,,,0.0947,0.121,-0.505
1.420,,,,0.0959,0.115,-0.404
1.430,,,,0.0970,0.113,-0.269
1.440,,,,0.0981,0.111,-0.236
1.450,-0.01,-0.2,0.2,0.0993,0.109,-0.269
1.460,,,,0.1003,0.105,-0.269
1.470,,,,0.1014,0.103,-0.269
1.480,,,,0.1023,0.101,-0.303
1.490,,,,0.1034,0.097,-0.337
1.500,-0.01,-0.3,0.3,0.1043,0.093,-0.269
1.510,,,,0.1053,0.091,-0.168
1.520,,,,0.1061,0.091,-0.101
1.530,,,,0.1071,0.089,-0.034
1.540,,,,0.1079,0.089,0.101
1.550,-0.01,0.2,0.2,0.1088,0.091,0.236
1.560,,,,0.1097,0.095,0.269
1.570,,,,0.1107,0.097,0.269
1.580,,,,0.1117,0.099,0.337
1.590,,,,0.1127,0.103,0.505
1.600,-0.01,0.5,0.5,0.1137,0.109,0.640
1.610,,,,0.1148,0.117,0.640
1.620,,,,0.1160,0.123,0.505
1.630,,,,0.1174,0.127,0.337
1.640,,,,0.1186,0.129,0.236
1.650,-0.01,0.3,0.3,0.1199,0.131,0.202
1.660,,,,0.1213,0.133,0.236
1.670,,,,0.1226,0.135,0.303
1.680,,,,0.1239,0.139,0.303
1.690,,,,0.1254,0.143,0.135
1.700,-0.01,0.0,0.2,0.1268,0.143,-0.168
1.710,,,,0.1283,0.139,-0.505
1.720,,,,0.1296,0.133,-0.808
1.730,,,,0.1310,0.123,-1.044
1.740,,,,0.1322,0.111,-1.145
1.750,0.00,-1.2,1.2,0.1331,0.099,-1.112
1.760,,,,0.1341,0.089,-1.078
1.770,,,,0.1350,0.079,-1.145
1.780,,,,0.1357,0.067,-1.280
1.790,,,,0.1363,0.053,-1.347
1.800,0.00,-1.2,1.2,0.1368,0.038,-1.280
1.810,,,,0.1370,0.026,-1.145
1.820,,,,0.1373,0.016,-1.078
1.830,,,,0.1374,0.006,-1.112
1.840,,,,0.1374,-0.006,-1.179
1.850,0.00,-1.2,1.2,0.1373,-0.018,-1.213
1.860,,,,0.1370,-0.030,-1.213
1.870,,,,0.1367,-0.042,-1.213
1.880,,,,0.1362,-0.055,-1.213
1.890,,,,0.1356,-0.067,-1.213
1.900,0.00,-1.2,1.2,0.1348,-0.079,-1.213
1.910,,,,0.1340,-0.091,-1.179
1.920,,,,0.1330,-0.103,-1.112
1.930,,,,0.1319,-0.113,-1.078
1.940,,,,0.1307,-0.123,-1.112
1.950,0.00,-1.2,1.2,0.1295,-0.135,-1.179
1.960,,,,0.1281,-0.148,-1.179
1.970,,,,0.1265,-0.160,-1.145
1.980,,,,0.1249,-0.170,-1.145
1.990,,,,0.1231,-0.182,-1.179
2.000,0.00,-1.2,1.2,0.1213,-0.194,-1.213
2.010,,,,0.1192,-0.206,-1.179
2.020,,,,0.1171,-0.218,-1.112
2.030,,,,0.1148,-0.228,-1.044
2.040,,,,0.1125,-0.238,-1.078
2.050,0.00,-1.2,1.2,0.1101,-0.249,-1.213
2.060,,,,0.1076,-0.263,-1.314
2.070,,,,0.1049,-0.277,-1.280
2.080,,,,0.1020,-0.289,-1.145
2.090,,,,0.0991,-0.299,-1.078
2.100,0.00,-1.2,1.2,0.0960,-0.309,-1.112
2.110,,,,0.0929,-0.321,-1.145
2.120,,,,0.0896,-0.333,-1.112
2.130,,,,0.0862,-0.344,-1.078
2.140,,,,0.0827,-0.354,-1.145
2.150,0.00,-1.2,1.2,0.0792,-0.366,-1.246
2.160,,,,0.0754,-0.380,-1.246
2.170,,,,0.0715,-0.392,-1.145
2.180,,,,0.0675,-0.402,-1.078
2.190,,,,0.0635,-0.412,-1.112
2.200,0.00,-1.1,1.1,0.0593,-0.424,-1.145
2.210,,,,0.0551,-0.437,-1.112
2.220,,,,0.0506,-0.447,-1.044
2.230,,,,0.0461,-0.457,-1.011
2.240,,,,0.0415,-0.467,-1.011
2.250,0.00,-1.1,1.1,0.0367,-0.477,-1.011
2.260,,,,0.0319,-0.487,-1.011
2.270,,,,0.0270,-0.497,-1.011
2.280,,,,0.0219,-0.507,-1.011
2.290,,,,0.0169,-0.517,-0.977
2.300,0.00,-0.9,0.9,0.0116,-0.527,-0.775
2.310,,,,0.0063,-0.536,-0.202
2.320,,,,8.4884E-4,-0.536,0.876
2.330,,,,-0.0045,-0.521,2.392
2.340,,,,-0.0097,-0.489,4.210
2.350,-0.06,5.1,5.1,-0.0144,-0.439,6.130
2.360,,,,-0.0186,-0.366,7.916
2.370,,,,-0.0219,-0.277,9.330
2.380,,,,-0.0241,-0.176,10.206
2.390,,,,-0.0255,-0.069,10.577
2.400,-0.08,10.8,10.8,-0.0256,0.038,10.476
2.410,,,,-0.0246,0.143,9.937
2.420,,,,-0.0227,0.241,8.960
2.430,,,,-0.0198,0.325,7.579
2.440,,,,-0.0160,0.394,5.928
2.450,-0.04,5.3,5.3,-0.0118,0.445,4.109
2.460,,,,-0.0070,0.477,2.257
2.470,,,,-0.0021,0.489,0.606
2.480,,,,0.0029,0.485,-0.539
2.490,,,,0.0076,0.473,-1.078
2.500,0.00,-1.4,1.4,0.0124,0.461,-1.246
2.510,,,,0.0169,0.449,-1.347
2.520,,,,0.0213,0.435,-1.482
2.530,,,,0.0256,0.418,-1.516
2.540,,,,0.0297,0.402,-1.381
2.550,0.00,-1.3,1.3,0.0336,0.390,-1.179
2.560,,,,0.0375,0.380,-1.112
2.570,,,,0.0412,0.370,-1.213
2.580,,,,0.0449,0.356,-1.314
2.590,,,,0.0484,0.342,-1.280
2.600,0.00,-1.3,1.3,0.0517,0.329,-1.145
2.610,,,,0.0549,0.319,-1.078
2.620,,,,0.0581,0.309,-1.112
2.630,,,,0.0611,0.297,-1.179
2.640,,,,0.0640,0.285,-1.213
2.650,0.01,-1.2,1.2,0.0668,0.273,-1.213
2.660,,,,0.0695,0.261,-1.213
2.670,,,,0.0720,0.249,-1.213
2.680,,,,0.0745,0.236,-1.213
2.690,,,,0.0768,0.224,-1.213
2.700,0.00,-1.2,1.2,0.0789,0.212,-1.213
2.710,,,,0.0810,0.200,-1.213
2.720,,,,0.0829,0.188,-1.213
2.730,,,,0.0848,0.176,-1.213
2.740,,,,0.0865,0.164,-1.213
2.750,0.00,-1.2,1.2,0.0880,0.152,-1.213
2.760,,,,0.0895,0.139,-1.179
2.770,,,,0.0908,0.127,-1.112
2.780,,,,0.0920,0.117,-1.078
2.790,,,,0.0931,0.107,-1.145
2.800,0.00,-1.2,1.2,0.0942,0.095,-1.280
2.810,,,,0.0951,0.081,-1.314
2.820,,,,0.0958,0.067,-1.213
2.830,,,,0.0964,0.057,-1.112
2.840,,,,0.0969,0.046,-1.145
2.850,0.00,-1.2,1.2,0.0974,0.034,-1.246
2.860,,,,0.0976,0.020,-1.246
2.870,,,,0.0977,0.008,-1.179
2.880,,,,0.0977,-0.002,-1.145
2.890,,,,0.0977,-0.014,-1.179
2.900,0.00,-1.2,1.2,0.0975,-0.026,-1.179
2.910,,,,0.0971,-0.038,-1.145
2.920,,,,0.0968,-0.049,-1.145
2.930,,,,0.0962,-0.061,-1.179
2.940,,,,0.0956,-0.073,-1.213
2.950,0.00,-1.2,1.2,0.0947,-0.085,-1.179
2.960,,,,0.0939,-0.097,-1.145
2.970,,,,0.0928,-0.107,-1.145
2.980,,,,0.0917,-0.119,-1.179
2.990,,,,0.0905,-0.131,-1.179
3.000,0.00,-1.1,1.2,0.0890,-0.143,-1.112
3.010,,,,0.0876,-0.154,-1.078
3.020,,,,0.0860,-0.164,-1.112
3.030,,,,0.0843,-0.176,-1.213
3.040,,,,0.0825,-0.188,-1.314
3.050,0.01,-1.2,1.2,0.0805,-0.202,-1.314
3.060,,,,0.0785,-0.216,-1.179
3.070,,,,0.0762,-0.226,-1.011
3.080,,,,0.0738,-0.234,-1.011
3.090,,,,0.0715,-0.245,-1.145
3.100,0.00,-1.2,1.2,0.0690,-0.259,-1.213
3.110,,,,0.0663,-0.271,-1.179
3.120,,,,0.0635,-0.281,-1.145
3.130,,,,0.0608,-0.293,-1.179
3.140,,,,0.0577,-0.305,-1.179
3.150,0.00,-1.1,1.1,0.0546,-0.317,-1.112
3.160,,,,0.0514,-0.327,-1.044
3.170,,,,0.0480,-0.338,-1.011
3.180,,,,0.0446,-0.348,-1.044
3.190,,,,0.0411,-0.358,-1.078
3.200,0.01,-1.1,1.1,0.0375,-0.370,-1.078
3.210,,,,0.0337,-0.380,-1.044
3.220,,,,0.0298,-0.390,-1.011
3.230,,,,0.0260,-0.400,-1.011
3.240,,,,0.0218,-0.410,-1.011
3.250,0.01,-1.0,1.0,0.0177,-0.420,-1.011
3.260,,,,0.0135,-0.430,-0.943
3.270,,,,0.0091,-0.441,-0.707
3.280,,,,0.0046,-0.447,-0.168
3.290,,,,1.2126E-4,-0.447,0.775
